region,option_1,option_2,option_3,year,value
R1,A1,A2,A3,1960,3.998249827
R2,A1,A2,A3,1960,36.43505503
R3,A1,A2,A3,1960,0.954159765
R4,A1,A2,A3,1960,12.73210303
R1,A1,A2,B3,1960,22.99495795
R2,A1,A2,B3,1960,13.82793647
R3,A1,A2,B3,1960,5.031705283
R4,A1,A2,B3,1960,39.32712823
R1,A1,A2,C3,1960,43.54023472
R2,A1,A2,C3,1960,23.90373396
R3,A1,A2,C3,1960,15.42256095
R4,A1,A2,C3,1960,11.11173939
R1,A1,B2,B3,1960,72.50442471
R2,A1,B2,B3,1960,24.72915029
R3,A1,B2,B3,1960,0.849337896
R4,A1,B2,B3,1960,27.32894535
R1,A1,B2,C3,1960,5.401276052
R2,A1,B2,C3,1960,69.34358231
R3,A1,B2,C3,1960,7.039509354
R4,A1,B2,C3,1960,60.03669442
R1,A1,C2,C3,1960,17.80361065
R2,A1,C2,C3,1960,26.4150641
R3,A1,C2,C3,1960,4.602329447
R4,A1,C2,C3,1960,7.622402378
R1,B1,B2,B3,1960,7.477612069
R2,B1,B2,B3,1960,5.506776213
R3,B1,B2,B3,1960,65.22741698
R4,B1,B2,B3,1960,24.67017116
R1,B1,B2,C3,1960,32.00999171
R2,B1,B2,C3,1960,29.50313977
R3,B1,B2,C3,1960,21.31029811
R4,B1,B2,C3,1960,3.305061987
R1,B1,C2,C3,1960,13.65220285
R2,B1,C2,C3,1960,1.100891369
R3,B1,C2,C3,1960,21.79042217
R4,B1,C2,C3,1960,3.740147612
R1,C1,C2,C3,1960,3.017446153
R2,C1,C2,C3,1960,3.619677058
R3,C1,C2,C3,1960,4.142320293
R4,C1,C2,C3,1960,67.82077594
R1,A1,A2,A3,1961,2.118581457
R2,A1,A2,A3,1961,1.490110733
R3,A1,A2,A3,1961,27.15345261
R4,A1,A2,A3,1961,24.50038267
R1,A1,A2,B3,1961,19.91534436
R2,A1,A2,B3,1961,30.41539723
R3,A1,A2,B3,1961,11.75149544
R4,A1,A2,B3,1961,2.905940975
R1,A1,A2,C3,1961,25.29112488
R2,A1,A2,C3,1961,76.36989747
R3,A1,A2,C3,1961,28.42287919
R4,A1,A2,C3,1961,19.85332473
R1,A1,B2,B3,1961,34.18515478
R2,A1,B2,B3,1961,7.389464966
R3,A1,B2,B3,1961,48.49036285
R4,A1,B2,B3,1961,14.27450983
R1,A1,B2,C3,1961,8.98679246
R2,A1,B2,C3,1961,80.70005108
R3,A1,B2,C3,1961,56.88062215
R4,A1,B2,C3,1961,29.53954625
R1,A1,C2,C3,1961,12.87388109
R2,A1,C2,C3,1961,69.92386921
R3,A1,C2,C3,1961,49.46091535
R4,A1,C2,C3,1961,38.1448306
R1,B1,B2,B3,1961,52.42670059
R2,B1,B2,B3,1961,65.86898432
R3,B1,B2,B3,1961,35.9515721
R4,B1,B2,B3,1961,2.139392745
R1,B1,B2,C3,1961,22.89158447
R2,B1,B2,C3,1961,43.07477298
R3,B1,B2,C3,1961,85.29119286
R4,B1,B2,C3,1961,18.04314926
R1,B1,C2,C3,1961,57.14582042
R2,B1,C2,C3,1961,30.30803915
R3,B1,C2,C3,1961,41.83528912
R4,B1,C2,C3,1961,15.9246063
R1,C1,C2,C3,1961,44.87993671
R2,C1,C2,C3,1961,13.16000044
R3,C1,C2,C3,1961,8.441943615
R4,C1,C2,C3,1961,65.86923622
R1,A1,A2,A3,1962,47.29571136
R2,A1,A2,A3,1962,17.17072015
R3,A1,A2,A3,1962,30.276854
R4,A1,A2,A3,1962,30.82925726
R1,A1,A2,B3,1962,22.8186422
R2,A1,A2,B3,1962,3.056856854
R3,A1,A2,B3,1962,3.968497414
R4,A1,A2,B3,1962,39.41181181
R1,A1,A2,C3,1962,47.94565545
R2,A1,A2,C3,1962,2.703268688
R3,A1,A2,C3,1962,46.00551494
R4,A1,A2,C3,1962,16.95947356
R1,A1,B2,B3,1962,16.10193191
R2,A1,B2,B3,1962,9.902154748
R3,A1,B2,B3,1962,21.05872967
R4,A1,B2,B3,1962,8.59659186
R1,A1,B2,C3,1962,26.40564137
R2,A1,B2,C3,1962,19.08007188
R3,A1,B2,C3,1962,1.492301535
R4,A1,B2,C3,1962,1.05999456
R1,A1,C2,C3,1962,61.95849132
R2,A1,C2,C3,1962,0.832558317
R3,A1,C2,C3,1962,24.14158861
R4,A1,C2,C3,1962,4.743181655
R1,B1,B2,B3,1962,34.22020945
R2,B1,B2,B3,1962,24.57022918
R3,B1,B2,B3,1962,33.84418308
R4,B1,B2,B3,1962,27.3971193
R1,B1,B2,C3,1962,0.971878754
R2,B1,B2,C3,1962,3.97631956
R3,B1,B2,C3,1962,62.20192789
R4,B1,B2,C3,1962,18.26660766
R1,B1,C2,C3,1962,1.851601983
R2,B1,C2,C3,1962,38.43537012
R3,B1,C2,C3,1962,11.7962606
R4,B1,C2,C3,1962,80.52400286
R1,C1,C2,C3,1962,24.38126139
R2,C1,C2,C3,1962,53.48770653
R3,C1,C2,C3,1962,70.58543581
R4,C1,C2,C3,1962,43.55914167
R1,A1,A2,A3,1963,46.62418482
R2,A1,A2,A3,1963,24.0443026
R3,A1,A2,A3,1963,1.631358672
R4,A1,A2,A3,1963,10.68413357
R1,A1,A2,B3,1963,40.02578939
R2,A1,A2,B3,1963,16.91943368
R3,A1,A2,B3,1963,15.38883804
R4,A1,A2,B3,1963,34.24183629
R1,A1,A2,C3,1963,9.889854782
R2,A1,A2,C3,1963,4.611366884
R3,A1,A2,C3,1963,3.710220133
R4,A1,A2,C3,1963,40.63113055
R1,A1,B2,B3,1963,21.19682987
R2,A1,B2,B3,1963,15.53369044
R3,A1,B2,B3,1963,0.0215026
R4,A1,B2,B3,1963,37.61558472
R1,A1,B2,C3,1963,18.14094309
R2,A1,B2,C3,1963,1.604938873
R3,A1,B2,C3,1963,36.04995538
R4,A1,B2,C3,1963,0.569541491
R1,A1,C2,C3,1963,0.679199647
R2,A1,C2,C3,1963,8.1904032
R3,A1,C2,C3,1963,1.638476404
R4,A1,C2,C3,1963,15.06815568
R1,B1,B2,B3,1963,43.62752891
R2,B1,B2,B3,1963,6.997325411
R3,B1,B2,B3,1963,7.417478676
R4,B1,B2,B3,1963,41.83070933
R1,B1,B2,C3,1963,22.09304773
R2,B1,B2,C3,1963,13.04410322
R3,B1,B2,C3,1963,18.48589339
R4,B1,B2,C3,1963,30.2117087
R1,B1,C2,C3,1963,2.800699355
R2,B1,C2,C3,1963,39.65506598
R3,B1,C2,C3,1963,13.85562593
R4,B1,C2,C3,1963,61.87843988
R1,C1,C2,C3,1963,0.656739862
R2,C1,C2,C3,1963,56.05821549
R3,C1,C2,C3,1963,0.651203263
R4,C1,C2,C3,1963,23.69318376
R1,A1,A2,A3,1964,0.801035476
R2,A1,A2,A3,1964,18.07967084
R3,A1,A2,A3,1964,53.97839584
R4,A1,A2,A3,1964,32.41070516
R1,A1,A2,B3,1964,3.288991166
R2,A1,A2,B3,1964,14.2899365
R3,A1,A2,B3,1964,5.140556469
R4,A1,A2,B3,1964,34.45063115
R1,A1,A2,C3,1964,22.76233086
R2,A1,A2,C3,1964,80.62216486
R3,A1,A2,C3,1964,5.783786384
R4,A1,A2,C3,1964,0.717271727
R1,A1,B2,B3,1964,22.27925318
R2,A1,B2,B3,1964,46.50602729
R3,A1,B2,B3,1964,11.65566568
R4,A1,B2,B3,1964,18.14096027
R1,A1,B2,C3,1964,42.72909844
R2,A1,B2,C3,1964,30.07840891
R3,A1,B2,C3,1964,1.536996012
R4,A1,B2,C3,1964,1.705961455
R1,A1,C2,C3,1964,0.96431959
R2,A1,C2,C3,1964,12.80764742
R3,A1,C2,C3,1964,12.62693392
R4,A1,C2,C3,1964,52.06193605
R1,B1,B2,B3,1964,0.858384602
R2,B1,B2,B3,1964,46.0724996
R3,B1,B2,B3,1964,0.41339091
R4,B1,B2,B3,1964,1.803170157
R1,B1,B2,C3,1964,88.24330823
R2,B1,B2,C3,1964,56.43654144
R3,B1,B2,C3,1964,28.75189585
R4,B1,B2,C3,1964,3.530727549
R1,B1,C2,C3,1964,7.812334423
R2,B1,C2,C3,1964,1.231106081
R3,B1,C2,C3,1964,45.00538467
R4,B1,C2,C3,1964,9.245650596
R1,C1,C2,C3,1964,13.40985315
R2,C1,C2,C3,1964,37.96406901
R3,C1,C2,C3,1964,7.898494461
R4,C1,C2,C3,1964,2.771362442
R1,A1,A2,A3,1965,0.14923978
R2,A1,A2,A3,1965,69.50266401
R3,A1,A2,A3,1965,6.073809
R4,A1,A2,A3,1965,9.826757984
R1,A1,A2,B3,1965,42.74280158
R2,A1,A2,B3,1965,10.12606522
R3,A1,A2,B3,1965,10.88453913
R4,A1,A2,B3,1965,13.17148118
R1,A1,A2,C3,1965,0.602782271
R2,A1,A2,C3,1965,45.03560292
R3,A1,A2,C3,1965,87.11328066
R4,A1,A2,C3,1965,1.168251726
R1,A1,B2,B3,1965,1.600032247
